# COLORI VEICOLO (palette del gioco)
# formato:  indice | Nome | Gruppo
# Il gruppo decide in quale sottomenu finisce. Puoi rinominare a piacere.

0|Metallic Black|Metallic
1|Metallic Graphite Black|Metallic
2|Metallic Black Steel|Metallic
3|Metallic Dark Silver|Metallic
4|Metallic Silver|Metallic
5|Metallic Blue Silver|Metallic
6|Metallic Steel Gray|Metallic
7|Metallic Shadow Silver|Metallic
8|Metallic Stone Silver|Metallic
9|Metallic Midnight Silver|Metallic
10|Metallic Gun Metal|Metallic
11|Metallic Anthracite Grey|Metallic
12|Matte Black|Matte
13|Matte Gray|Matte
14|Matte Light Grey|Matte
15|Util Black|Util
16|Util Black Poly|Util
17|Util Dark Silver|Util
18|Util Silver|Util
19|Util Gun Metal|Util
20|Util Shadow Silver|Util
21|Worn Black|Worn
22|Worn Graphite|Worn
23|Worn Silver Grey|Worn
24|Worn Silver|Worn
25|Worn Blue Silver|Worn
26|Worn Shadow Silver|Worn
27|Metallic Red|Metallic
28|Metallic Torino Red|Metallic
29|Metallic Formula Red|Metallic
30|Metallic Blaze Red|Metallic
31|Metallic Graceful Red|Metallic
32|Metallic Garnet Red|Metallic
33|Metallic Desert Red|Metallic
34|Metallic Cabernet Red|Metallic
35|Metallic Candy Red|Metallic
36|Metallic Sunrise Orange|Metallic
37|Metallic Classic Gold|Metallic
38|Metallic Orange|Metallic
39|Matte Red|Matte
40|Matte Dark Red|Matte
41|Matte Orange|Matte
42|Matte Yellow|Matte
43|Util Red|Util
44|Util Bright Red|Util
45|Util Garnet Red|Util
46|Worn Red|Worn
47|Worn Golden Red|Worn
48|Worn Dark Red|Worn
49|Metallic Dark Green|Metallic
50|Metallic Racing Green|Metallic
51|Metallic Sea Green|Metallic
52|Metallic Olive Green|Metallic
53|Metallic Green|Metallic
54|Metallic Gasoline Blue Green|Metallic
55|Matte Lime Green|Matte
56|Util Dark Green|Util
57|Util Green|Util
58|Worn Dark Green|Worn
59|Worn Green|Worn
60|Worn Sea Wash|Worn
61|Metallic Midnight Blue|Metallic
62|Metallic Dark Blue|Metallic
63|Metallic Saxony Blue|Metallic
64|Metallic Blue|Metallic
65|Metallic Mariner Blue|Metallic
66|Metallic Harbor Blue|Metallic
67|Metallic Diamond Blue|Metallic
68|Metallic Surf Blue|Metallic
69|Metallic Nautical Blue|Metallic
70|Metallic Bright Blue|Metallic
71|Metallic Purple Blue|Metallic
72|Metallic Spinnaker Blue|Metallic
73|Metallic Ultra Blue|Metallic
74|Metallic Bright Blue 2|Metallic
75|Util Dark Blue|Util
76|Util Midnight Blue|Util
77|Util Blue|Util
78|Util Sea Foam Blue|Util
79|Util Lightning Blue|Util
80|Util Maui Blue Poly|Util
81|Util Bright Blue|Util
82|Matte Dark Blue|Matte
83|Matte Blue|Matte
84|Matte Midnight Blue|Matte
85|Worn Dark Blue|Worn
86|Worn Blue|Worn
87|Worn Light Blue|Worn
88|Metallic Taxi Yellow|Metallic
89|Metallic Race Yellow|Metallic
90|Metallic Bronze|Metallic
91|Metallic Yellow Bird|Metallic
92|Metallic Lime|Metallic
93|Metallic Champagne|Metallic
94|Metallic Pueblo Beige|Metallic
95|Metallic Dark Ivory|Metallic
96|Metallic Choco Brown|Metallic
97|Metallic Golden Brown|Metallic
98|Metallic Light Brown|Metallic
99|Metallic Straw Beige|Metallic
100|Metallic Moss Brown|Metallic
101|Metallic Biston Brown|Metallic
102|Metallic Beechwood|Metallic
103|Metallic Dark Beechwood|Metallic
104|Metallic Choco Orange|Metallic
105|Metallic Beach Sand|Metallic
